打开新窗口	Ctrl + n
打开新的标签页，并跳转到该标签页	Ctrl + t
重新打开最后关闭的标签页，并跳转到该标签页	Ctrl + Shift + t
跳转到下一个打开的标签页	Ctrl + Tab 或 Ctrl + PgDn
跳转到上一个打开的标签页	Ctrl + Shift + Tab 或 Ctrl + PgUp
关闭当前标签页	Ctrl + w 或 Ctrl + F4
最小化当前窗口	Alt + 空格键 + n
最大化当前窗口	Alt + 空格键 + x
关闭当前窗口	Alt + F4
退出 Google Chrome	Ctrl + Shift + q
打开“开发者工具”	Ctrl + Shift + j 或 F12
显示或隐藏书签栏	Ctrl + Shift + b
打开查找栏搜索当前网页	Ctrl + f 或 F3
跳转到与查找栏中搜索字词相匹配的下一条内容	Ctrl + g
跳转到与查找栏中搜索字词相匹配的上一条内容	Ctrl + Shift + g
重新加载当前网页	F5 或 Ctrl + r
重新加载当前网页（忽略缓存的内容）	Shift + F5 或 Ctrl + Shift + r
将当前网页保存为书签	Ctrl + d
