Ctrl+Y	重做（与撤销Ctrl+Z相反）
Ctrl+Shift+F	格式化当前代码
Ctrl+D	删除当前行或者多行
Alt+↓	当前行和下面一行交互位置（特别实用,可以省去先剪切,再粘贴了）
Alt+↑	当前行和上面一行交互位置（同上）
Ctrl+Alt+↓	复制当前行到下一行（复制增加）
Ctrl+Alt+↑	复制当前行到上一行（复制增加）
Shift+Enter	在当前行的下一行插入空行（这时鼠标可以在当前行的任一位置,不一定是最后）
Ctrl+/	注释当前行,再按则取消注释
Alt+Shift+←	选择上一个元素
Alt+Shift+→	选择下一个元素
Shift+←	从光标处开始往左选择字符
Shift+→	从光标处开始往右选择字符
Ctrl+Shift+←	选中光标左边的单词
Ctrl+Shift+→	选中光标右边的单词
Ctrl+←	光标移到左边单词的开头，相当于vim的b
Ctrl+→	光标移到右边单词的末尾，相当于vim的e
Ctrl+K	参照选中的Word快速定位到下一个（如果没有选中word，则搜索上一次使用搜索的word）
Ctrl+Shift+K	参照选中的Word快速定位到上一个
Ctrl+J	正向增量查找（按下Ctrl+J后,你所输入的每个字母编辑器都提供快速匹配定位到某个单词,如果没有,则在状态栏中显示没有找到了,查一个单词时,特别实用,要退出这个模式，按escape建）
Ctrl+Shift+J	反向增量查找（和上条相同,只不过是从后往前查）
Ctrl+H	打开搜索对话框
Ctrl+G	工作区中的声明
Ctrl+Shift+G	工作区中的引用


F5	单步跳入
F6	单步跳过
F7	单步返回
F8	继续
Ctrl+Shift+D	显示变量的值
Ctrl+Shift+B	在当前行设置或者去掉断点
Ctrl+R	运行至行(超好用，可以节省好多的断点)

Ctrl+↑	文本编辑器 上滚行
Ctrl+↓	文本编辑器 下滚行
Ctrl+M	最大化当前的Edit或View （再按则反之）
Ctrl+O	快速显示 OutLine（不开Outline窗口的同学，这个快捷键是必不可少的）
Ctrl+T	快速显示当前类的继承结构
Ctrl+W	关闭当前Editer（windows下关闭打开的对话框也是这个，还有qq、旺旺、浏览器等都是）
Ctrl+L	文本编辑器 转至行
